,text,likes
0,我很同情，但不會捐款，中國政府自已很有錢，拿對外大灑幣的百分之一就能解決了,323
1,还是国内新闻好，没有水灾，没有疫情，新闻中的国家一直那么岁月静好,96
2,这样的政府不垮，天理难容。,236
3,这次洪灾一直是我亲自泄洪，亲自掘堤。,106
4,地獄中的中國。 高官無憂。百姓吃苦,29
5,即使是這麼大的天災人禍.人民依然要感謝黨.亂七八糟的國家,150
6,"百姓家裏淹滿了水, 官員家裏淹滿了錢; 
百姓泡著洪水睡覺, 官員抱著鈔票睡覺.",242
7,这不是光暴雨 这是上游在泄洪,64
8,直播成都领事馆 有没有直播水災 ?,167
9,捐什麼捐啊⋯⋯這麼偉大的祖國有的是錢😏,39
10,"對於小粉紅來說一定要刀子痛進他身體，且還要好多次，才會發現，黨的""""美好""""",33
11,"小粉紅：我祖國的車子能直接開到湍急的水流！怕了吧！
民眾：欸……車子沉下去了…
小粉紅：這是潛水艇功能有什麼好大驚小怪的！！
民眾：………………",59
12,今天恩施直接在抖音上屏蔽掉了,50
13,小粉红：我们这每年都这样，有什么奇怪的,106
14,感謝您真實的記錄片,77
15,“厉害了我的国！” “三峡大坝可防原子弹！” 老百姓不用担心。,21
16,地方官员说还好，没有淹到二三楼已经不错了！中国好棒棒 👍👍,25
17,國家一切安全，全民已進入小康社會，你們就别擔心了,10
18,德國總理看見這麼多車被沖走 便雙眼發光 興奮到訓唔著,22
19,不要緊 只要相信黨就可以 我絕對唔會捐任何一分錢,7
20,小粉紅變少了，是賤盤淹了？辛苦中國老百姓了，加油！,13
21,政治立場不同，但始終同文同種，天佑華人同胞挺過災厄。,11
22,央视一切安好,51
23,百姓真是欲哭无泪…,13
24,自生自滅，共匪完全沒感覺,21
25,这样的视频只能用震撼来形容，看了让人好心痛。谢谢你的分享,39
26,唉～！已無話可說了。 然而卻有太多的小粉紅還在粉飾太平！,32
27,可防可控,36
28,又旱又洪又虫！ 2020真的是大時代！,46
29,"小五毛說, 這一切都是美帝PS圖的, 一切都是假的, 我們只聽包子皇說, 天空如此晴朗, 河水如此平靜, 現在的中國是千年來最好的榮景喔",23
30,感謝分享最新情況 注意安全 天祐同胞🙏,10
31,"党呢？人民领袖呢？
我呸！",6
32,中國人民要相信黨！愛黨！這些都是假的影片，不要相信！,24
33,我看到幾輛車投奔自由去了！,7
34,沒事的  中國好棒棒,25
35,小粉紅：太好了，我大中国汽車產業即將迎來一波報復性消費的高峰，以汽車產業為龍頭，帶領大中国邁向世界第一大經濟體，把邪惡的美帝遠遠拋在後頭,5
36,先見習三峽大壩潰壩之後的狀況嗎？,12
37,這可是中共人說的…”沒事兒”。 慢慢洪水吧……。,7
38,相信共產黨    全家財產水淹光    相信共產黨   人民苦哈哈    請唱唱你們國歌前幾句吧~各位中國人,18
39,"上天給中共的逞罰,你們這些小粉紅就接受吧 哈哈哈哈哈!!",3
40,有商机，可以大力发展水路2用车🙄,4
41,老天保佑大家都平安 🙏🙏🙏,5
42,感謝您真實的記錄片，你辛苦了！希望国内亲友们早日脱离苦海,2
43,看來洪災過後，買車時要檢查的更仔細，免得遇到了黑心商人隱瞞實情賣泡水車。,14
44,讓暴風雨來的更猛烈一些吧,17
45,天怒人怨啊！老百姓太苦了，看哭了。但愿这天降的洪水一路冲进中南坑，让里面的人都变成王八游出来。,18
46,党說了，可防可控!,4
47,報复性消費終於來了！,8
48,那几个人当然是干部了，能够得到1w元补助，其他人死不死，无所谓了,15
49,在中國大陸説真實話是”洩漏國家機密”罪. 説假話就是愛黨愛國...... 利害我的國. 糞近平主席萬歲😅😅😅,2
50,百姓生活怎麼過呢😰😰😰😰😰😰,4
51,"哈哈哈哈哈哈哈哈哈哈哈哈哈😄
看看就好",4
52,好可怕的洪水，需注意洪災導致的人群移動，會讓肺炎疫情就像癌症末期一樣到處轉移。,2
53,"三峽大壩上游都淹大水，
大壩又準備開始洩洪，
這整個月都在看淹水！
下個月又要開始下雨🌧️",3
54,浪奔浪流,6
55,"神明終於聽到香港人的心聲了 
天滅中共！！！！！！",2
56,欧耶！,3
57,上游水库放水,12
58,gdp又来了,8
59,"18小時下350都毫米還好,台北今天一小時就下110毫米，也沒啥淹水阿",4
60,祈求上蒼保祐各國百姓！,2
61,一切安好，沒事，哈哈,3
62,天灭中共，拿钱去建航母舰队了。,3
63,"沙发
！！！！！！！！！",5
64,"❎ and the rains came.
No amount of three gorges dam could hold this volume.
🙏",
65,中國人的生活水平好高啊！,2
66,"I understood your meaning of these sentences: 
""I don't have a gold owner. I haven't received advertisements. I'm not afraid to hurt others. So, what I said in the videos is true. "" 
 ",2
67,感谢美国提供新的新闻素材，现在国内都报答领事馆的事，洪灾已经过去了。,2
68,呵呵  強大的中國  不怕這個啦,2
69,感謝分享,2
70,"Similar cases happened to USA in South Eastern States almost every year. Most glaciers in the North pole melted, global warming is the main problem.",
71,汽車產業要發了,2
72,河水一夜暴涨，很有可能是上游水坝放水造成的，自然降雨很少有这么厉害,1
73,讓我看到30年前的信義區大淹水,1
74,"好慘呀,希望人平安！",1
75,"厲害了我的詛國,車子都可以當船在水上漂....
習謊弟真有你的..可防可控真不是蓋的...........
改天機車都可以當潛艇了...",1
76,本来是干涸的 一夜之间就这样了 牛逼啊,1
77,中国共産党がつぶれれば、日本から被害に遭われた人々へ多くの援助が出来るでしょう。隣国の友人達頑張ってください。,12
78,"犧牲小我完成大我

很棒~",1
79,暴雨+洩洪=人民受苦,1
80,感謝黨賜給百姓水災還有瘟疫，人民太幸福啦,1
81,😋😋😋 卖车的机会来了啊！,1
